symbol,name,initialPrice,drift,volatility,baseVolume,category,priority
AAPL,Apple Inc,175.50,0.0002,0.015,50000000,STOCK,1
MSFT,Microsoft Corporation,380.25,0.00018,0.014,40000000,STOCK,1
GOOGL,Alphabet Inc,142.80,0.00015,0.016,30000000,STOCK,1
META,Meta Platforms Inc,485.60,0.00012,0.018,35000000,STOCK,1
NVDA,NVIDIA Corporation,875.40,0.00025,0.025,60000000,STOCK,1
TSLA,Tesla Inc,245.30,0.0003,0.028,70000000,STOCK,1
AMZN,Amazon.com Inc,178.90,0.00022,0.017,45000000,STOCK,2
NFLX,Netflix Inc,625.50,0.0001,0.022,25000000,STOCK,2
JPM,JPMorgan Chase & Co,195.75,0.00008,0.012,20000000,STOCK,3
BAC,Bank of America Corp,38.45,0.00006,0.013,30000000,STOCK,3
XOM,Exxon Mobil Corporation,112.30,0.00005,0.014,25000000,STOCK,3
CVX,Chevron Corporation,158.80,0.00005,0.014,18000000,STOCK,3
BTC,Bitcoin,65000.00,0.0001,0.035,25000000000,CRYPTO,1
ETH,Ethereum,3500.00,0.00012,0.04,15000000000,CRYPTO,1
SOL,Solana,145.75,0.00015,0.055,800000000,CRYPTO,2
AVAX,Avalanche,35.60,0.00018,0.06,400000000,CRYPTO,2
MATIC,Polygon,0.85,0.0002,0.065,300000000,CRYPTO,2
ADA,Cardano,0.52,0.00015,0.058,250000000,CRYPTO,2
DOT,Polkadot,7.25,0.00018,0.062,350000000,CRYPTO,2
LINK,Chainlink,15.40,0.0002,0.055,450000000,CRYPTO,2
USDT,Tether,1.0000,0.0,0.0005,10000000000,CRYPTO,3
USDC,USD Coin,1.0000,0.0,0.0005,8000000000,CRYPTO,3
